+------------+-----------------------+-----------------------+
| Num States | Vectorized Time (s)  | Iterative Time (s)    |
+------------+-----------------------+-----------------------+
| 36         | 0.526387              | 0.528504              |
| 100        | 1.603010              | 1.610114              |
| 196        | 2.469193              | 2.488917              |
| 324        | 3.868561              | 3.915718              |
| 484        | 5.911392              | 6.028196              |
| 676        | 8.894311              | 9.107308              |
| 900        | 12.884302             | 13.242317             |
| 1156       | 18.521876             | 19.019129             |
| 1444       | 24.709987             | 25.675786             |
| 1764       | 35.186825             | 38.162488             |
| 2116       | 48.205569             | 48.966459             |
| 2500       | 61.266187             | 63.965083             |
| 2916       | 84.216539             | 88.082432             |
| 3364       | 107.005611            | 111.833013            |
| 3844       | 134.149800            | 140.367566            |
| 4356       | 166.808183            | 174.850273            |
| 4900       | 204.654020            | 206.616563            |
| 5476       | 244.881654            | 257.620683            |
| 6084       | 281.663894            | 299.935960            |
| 6724       | 350.655875            | 368.580056            |
| 7396       | 410.982049            | 433.826486            |
| 8100       | 482.785798            | 511.030168            |
| 8836       | 543.915629            | 587.300834            |
| 9604       | 631.602155            | 672.236146            |
| 10404      | 763.374054            | 808.576576            |
| 11236      | 843.308243            | 908.957252            |
| 12100      | 984.928907            | 1027.130227           |
| 12996      | 1107.926791           | 1170.078899           |
| 13924      | 1251.927486           | 1330.224591           |
+------------+-----------------------+-----------------------+
