|--------------------------------------|
| deterministic MDP                    |
|--------------------------------------|
| Num States | Cores | Time (s)        |
|------------|-------|-----------------|
| 400        | 1     | 0.0403          |
| 900        | 1     | 0.1772          |
| 1600       | 1     | 0.4995          |
| 2500       | 1     | 1.1755          |
| 3600       | 1     | 2.4084          |
| 4900       | 1     | 4.4706          |
| 6400       | 1     | 7.7238          |
| 8100       | 1     | 12.4958         |
| 10000      | 1     | 19.1300         |
| 12100      | 1     | 27.8164         |
| 14400      | 1     | 39.1960         |
| 16900      | 1     | 54.1562         |
| 400        | 2     | 0.5501          |
| 900        | 2     | 0.2542          |
| 1600       | 2     | 0.3992          |
| 2500       | 2     | 0.9694          |
| 3600       | 2     | 1.8206          |
| 4900       | 2     | 3.2251          |
| 6400       | 2     | 5.4422          |
| 8100       | 2     | 8.6187          |
| 10000      | 2     | 13.1213         |
| 12100      | 2     | 18.9989         |
| 14400      | 2     | 27.4841         |
| 16900      | 2     | 37.6638         |
| 400        | 3     | 1.2297          |
| 900        | 3     | 0.2442          |
| 1600       | 3     | 0.4308          |
| 2500       | 3     | 0.8028          |
| 3600       | 3     | 1.3747          |
| 4900       | 3     | 2.5386          |
| 6400       | 3     | 4.2417          |
| 8100       | 3     | 6.7167          |
| 10000      | 3     | 10.4795         |
| 12100      | 3     | 14.3810         |
| 14400      | 3     | 20.8933         |
| 16900      | 3     | 28.1817         |
| 400        | 4     | 1.1591          |
| 900        | 4     | 0.2348          |
| 1600       | 4     | 0.4494          |
| 2500       | 4     | 0.7189          |
| 3600       | 4     | 1.2959          |
| 4900       | 4     | 2.2338          |
| 6400       | 4     | 3.6137          |
| 8100       | 4     | 5.7004          |
| 10000      | 4     | 8.4164          |
| 12100      | 4     | 12.2072         |
| 14400      | 4     | 17.4203         |
| 16900      | 4     | 23.4058         |
| 400        | 5     | 1.0894          |
| 900        | 5     | 0.2593          |
| 1600       | 5     | 0.4139          |
| 2500       | 5     | 0.7094          |
| 3600       | 5     | 1.2229          |
| 4900       | 5     | 2.0582          |
| 6400       | 5     | 3.3657          |
| 8100       | 5     | 5.2650          |
| 10000      | 5     | 7.5892          |
| 12100      | 5     | 11.0289         |
| 14400      | 5     | 15.4033         |
| 16900      | 5     | 20.9683         |
| 400        | 6     | 1.0815          |
| 900        | 6     | 0.3785          |
| 1600       | 6     | 0.4562          |
| 2500       | 6     | 0.7298          |
| 3600       | 6     | 1.2332          |
| 4900       | 6     | 2.0501          |
| 6400       | 6     | 3.2082          |
| 8100       | 6     | 4.9241          |
| 10000      | 6     | 7.2909          |
| 12100      | 6     | 9.9536          |
| 14400      | 6     | 14.2969         |
| 16900      | 6     | 23.5841         |
| 400        | 7     | 1.3253          |
| 900        | 7     | 0.2364          |
| 1600       | 7     | 0.4796          |
| 2500       | 7     | 0.7587          |
| 3600       | 7     | 1.2688          |
| 4900       | 7     | 2.0497          |
| 6400       | 7     | 3.2045          |
| 8100       | 7     | 4.8268          |
| 10000      | 7     | 7.7393          |
| 12100      | 7     | 10.0655         |
| 14400      | 7     | 15.3765         |
| 16900      | 7     | 293.1750        |
| 400        | 8     | 1.0999          |
| 900        | 8     | 0.4112          |
| 1600       | 8     | 0.4000          |
| 2500       | 8     | 0.8171          |
