|--------------------------------------|
| deterministic MDP                    |
|--------------------------------------|
| Num States | Cores | Time (s)        |
|------------|-------|-----------------|
| 400        | 1     | 0.0802          |
| 900        | 1     | 0.3495          |
| 1600       | 1     | 1.0264          |
| 2500       | 1     | 2.3442          |
| 3600       | 1     | 4.5619          |
| 4900       | 1     | 7.9856          |
| 6400       | 1     | 13.2620         |
| 8100       | 1     | 21.1161         |
| 10000      | 1     | 32.1514         |
| 12100      | 1     | 47.0162         |
| 14400      | 1     | 65.8822         |
| 16900      | 1     | 91.6529         |
| 400        | 2     | 2.4117          |
| 900        | 2     | 0.4345          |
| 1600       | 2     | 0.9670          |
| 2500       | 2     | 1.9415          |
| 3600       | 2     | 4.1663          |
| 4900       | 2     | 7.1143          |
| 6400       | 2     | 11.8451         |
| 8100       | 2     | 19.0882         |
| 10000      | 2     | 29.9052         |
| 12100      | 2     | 45.4540         |
| 14400      | 2     | 68.3326         |
| 16900      | 2     | 93.5514         |
| 400        | 3     | 3.5705          |
| 900        | 3     | 0.5315          |
| 1600       | 3     | 0.8592          |
| 2500       | 3     | 1.7263          |
| 3600       | 3     | 3.2738          |
| 4900       | 3     | 5.7576          |
| 6400       | 3     | 9.5930          |
| 8100       | 3     | 14.8347         |
| 10000      | 3     | 22.3132         |
| 12100      | 3     | 33.6239         |
| 14400      | 3     | 55.0830         |
| 16900      | 3     | 775.1467        |
| 400        | 4     | 3.5576          |
| 900        | 4     | 0.5249          |
| 1600       | 4     | 1.0075          |
| 2500       | 4     | 1.4649          |
| 3600       | 4     | 2.9283          |
| 4900       | 4     | 5.0592          |
| 6400       | 4     | 8.3794          |
| 8100       | 4     | 12.7465         |
| 10000      | 4     | 19.1988         |
| 12100      | 4     | 36.8338         |
| 14400      | 4     | 528.4311        |
| 16900      | 4     | 769.4642        |
| 400        | 5     | 3.8356          |
| 900        | 5     | 0.5409          |
| 1600       | 5     | 0.8919          |
| 2500       | 5     | 1.3946          |
| 3600       | 5     | 2.8661          |
| 4900       | 5     | 4.6983          |
| 6400       | 5     | 7.6703          |
| 8100       | 5     | 12.9576         |
| 10000      | 5     | 170.7912        |
| 12100      | 5     | 367.7329        |
| 14400      | 5     | 539.5231        |
| 16900      | 5     | 772.8769        |
| 400        | 6     | 3.8980          |
| 900        | 6     | 0.6047          |
| 1600       | 6     | 1.0246          |
| 2500       | 6     | 1.6549          |
| 3600       | 6     | 2.8084          |
| 4900       | 6     | 4.6892          |
| 6400       | 6     | 8.2404          |
| 8100       | 6     | 88.0274         |
| 10000      | 6     | 250.1842        |
| 12100      | 6     | 364.7605        |
| 14400      | 6     | 536.7361        |
| 16900      | 6     | 763.6982        |
| 400        | 7     | 0.5167          |
| 900        | 7     | 0.4152          |
| 1600       | 7     | 1.0741          |
| 2500       | 7     | 1.7781          |
| 3600       | 7     | 3.2473          |
| 4900       | 7     | 5.2103          |
| 6400       | 7     | 117.6594        |
| 8100       | 7     | 174.5188        |
| 10000      | 7     | 267.0686        |
| 12100      | 7     | 365.4109        |
| 14400      | 7     | 549.0304        |
| 16900      | 7     | 783.5518        |
| 400        | 8     | 0.4395          |
| 900        | 8     | 0.6838          |
| 1600       | 8     | 1.1535          |
| 2500       | 8     | 2.0202          |
| 3600       | 8     | 3.4211          |
| 4900       | 8     | 7.1797          |
| 6400       | 8     | 117.1426        |
| 8100       | 8     | 178.6585        |
| 10000      | 8     | 250.2678        |
| 12100      | 8     | 364.5144        |
| 14400      | 8     | 536.2392        |
| 16900      | 8     | 759.3839        |
|--------------------------------------|
|--------------------------------------|
| stochastic MDP                       |
|--------------------------------------|
| Num States | Cores | Time (s)        |
|------------|-------|-----------------|
| 400        | 1     | 0.4456          |
| 900        | 1     | 2.0534          |
| 1600       | 1     | 6.2399          |
| 2500       | 1     | 15.3035         |
| 3600       | 1     | 31.2333         |
| 4900       | 1     | 57.5158         |
| 6400       | 1     | 97.2763         |
| 8100       | 1     | 163.9657        |
| 10000      | 1     | 245.0456        |
| 12100      | 1     | 356.7199        |
| 14400      | 1     | 511.3741        |
| 16900      | 1     | 684.6984        |
| 400        | 2     | 3.4657          |
| 900        | 2     | 1.6501          |
| 1600       | 2     | 4.7034          |
| 2500       | 2     | 11.1338         |
| 3600       | 2     | 22.8072         |
| 4900       | 2     | 43.8175         |
| 6400       | 2     | 71.2738         |
| 8100       | 2     | 110.0726        |
| 10000      | 2     | 169.4387        |
| 12100      | 2     | 250.9232        |
| 14400      | 2     | 367.1140        |
| 16900      | 2     | 546.1150        |
| 400        | 3     | 3.7615          |
| 900        | 3     | 1.2932          |
| 1600       | 3     | 3.1317          |
| 2500       | 3     | 7.3367          |
| 3600       | 3     | 14.8109         |
| 4900       | 3     | 27.9100         |
| 6400       | 3     | 49.9223         |
| 8100       | 3     | 79.7413         |
| 10000      | 3     | 122.3303        |
| 12100      | 3     | 187.6749        |
| 14400      | 3     | 267.3723        |
| 16900      | 3     | 483.1760        |
| 400        | 4     | 3.7983          |
| 900        | 4     | 0.9999          |
| 1600       | 4     | 2.6459          |
| 2500       | 4     | 5.8216          |
| 3600       | 4     | 12.5542         |
| 4900       | 4     | 22.7743         |
