|--------------------------------------|
| deterministic MDP                    |
|--------------------------------------|
| Num States | Cores | Time (s)        |
|------------|-------|-----------------|
| 400        | 1     | 0.0243          |
| 900        | 1     | 0.1184          |
| 1600       | 1     | 0.3831          |
| 2500       | 1     | 0.9407          |
| 3600       | 1     | 1.9220          |
| 4900       | 1     | 3.5562          |
| 6400       | 1     | 6.0407          |
| 8100       | 1     | 9.6070          |
| 10000      | 1     | 14.6507         |
| 12100      | 1     | 21.3183         |
| 14400      | 1     | 30.1652         |
| 16900      | 1     | 41.2561         |
| 400        | 2     | 1.1730          |
| 900        | 2     | 0.2432          |
| 1600       | 2     | 0.5072          |
| 2500       | 2     | 0.9582          |
| 3600       | 2     | 1.8100          |
| 4900       | 2     | 3.2430          |
| 6400       | 2     | 5.2944          |
| 8100       | 2     | 8.2524          |
| 10000      | 2     | 12.4576         |
| 12100      | 2     | 18.4047         |
| 14400      | 2     | 26.4517         |
| 16900      | 2     | 35.4923         |
| 400        | 3     | 1.2569          |
| 900        | 3     | 0.2317          |
| 1600       | 3     | 0.4409          |
| 2500       | 3     | 0.8745          |
| 3600       | 3     | 1.5427          |
| 4900       | 3     | 2.7196          |
| 6400       | 3     | 4.4676          |
| 8100       | 3     | 6.9847          |
| 10000      | 3     | 10.5509         |
| 12100      | 3     | 15.1837         |
| 14400      | 3     | 21.3040         |
| 16900      | 3     | 29.6455         |
| 400        | 4     | 0.2111          |
| 900        | 4     | 0.2558          |
| 1600       | 4     | 0.4775          |
| 2500       | 4     | 0.7515          |
| 3600       | 4     | 1.3779          |
| 4900       | 4     | 2.4102          |
| 6400       | 4     | 3.8956          |
| 8100       | 4     | 5.9810          |
| 10000      | 4     | 8.8922          |
| 12100      | 4     | 12.7618         |
| 14400      | 4     | 18.0634         |
| 16900      | 4     | 24.7865         |
| 400        | 5     | 1.4779          |
| 900        | 5     | 0.2393          |
| 1600       | 5     | 0.4314          |
| 2500       | 5     | 0.7679          |
| 3600       | 5     | 1.3278          |
| 4900       | 5     | 2.2519          |
| 6400       | 5     | 3.7060          |
| 8100       | 5     | 5.7078          |
| 10000      | 5     | 8.2499          |
| 12100      | 5     | 12.0997         |
| 14400      | 5     | 17.1039         |
| 16900      | 5     | 23.8682         |
| 400        | 6     | 0.2117          |
| 900        | 6     | 0.2686          |
| 1600       | 6     | 0.4959          |
| 2500       | 6     | 0.8184          |
| 3600       | 6     | 1.3899          |
| 4900       | 6     | 2.3005          |
| 6400       | 6     | 3.6613          |
| 8100       | 6     | 5.5946          |
| 10000      | 6     | 7.9632          |
| 12100      | 6     | 11.6609         |
| 14400      | 6     | 16.1710         |
| 16900      | 6     | 22.8553         |
| 400        | 7     | 0.2334          |
| 900        | 7     | 0.2365          |
| 1600       | 7     | 0.4901          |
| 2500       | 7     | 0.8128          |
| 3600       | 7     | 1.2931          |
| 4900       | 7     | 2.3253          |
| 6400       | 7     | 3.9200          |
| 8100       | 7     | 5.3122          |
| 10000      | 7     | 8.4508          |
| 12100      | 7     | 11.4028         |
| 14400      | 7     | 16.2948         |
| 16900      | 7     | 22.5569         |
| 400        | 8     | 0.2188          |
| 900        | 8     | 0.3387          |
| 1600       | 8     | 0.4919          |
| 2500       | 8     | 0.8578          |
| 3600       | 8     | 1.4620          |
| 4900       | 8     | 2.3029          |
| 6400       | 8     | 3.6648          |
| 8100       | 8     | 5.3947          |
| 10000      | 8     | 7.9181          |
| 12100      | 8     | 11.1505         |
| 14400      | 8     | 15.9023         |
| 16900      | 8     | 45.3427         |
| 400        | 9     | 0.2572          |
| 900        | 9     | 0.2864          |
| 1600       | 9     | 0.5041          |
| 2500       | 9     | 0.8739          |
| 3600       | 9     | 1.5814          |
| 4900       | 9     | 2.3395          |
| 6400       | 9     | 3.7362          |
| 8100       | 9     | 5.0611          |
| 10000      | 9     | 7.8512          |
| 12100      | 9     | 12.8896         |
| 14400      | 9     | 18.7569         |
| 16900      | 9     | 237.2948        |
| 400        | 10    | 1.4378          |
| 900        | 10    | 0.3105          |
| 1600       | 10    | 0.4824          |
