| Num States | VI Iterations | PI Iterations | VI Time (s) | PI Time (s) |
|------------|---------------|---------------|-------------|-------------|
| 16         | 11            | 34            | 0.0007      | 0.0003      |
| 100        | 18            | 49            | 0.0010      | 0.0008      |
| 400        | 31            | 66            | 0.0028      | 0.0072      |
| 1600       | 56            | 98            | 0.0138      | 0.1246      |
| 10000      | 131           | 185           | 0.1693      | 8.9310      |
| 14400      | 156           | 213           | 0.2859      | 20.6686     |
| 19600      | 182           | 240           | 0.4402      | 41.4035     |
| 25600      | 207           | 267           | 0.6585      | 77.3224     |
| 32400      | 232           | 294           | 0.9148      | 138.7756    |
| 40000      | 257           | 321           | 1.1977      | 221.4174    |
